Method,Type,Status,Distribution,Size,Time
Radix,int32,1,normal,100,1.09704e-005
Radix,int64,1,normal,100,1.31645e-005
Radix,int32,1,normal,1000,5.37552e-005
Radix,int64,1,normal,1000,2.92545e-005
Radix,int32,1,normal,10000,0.000487819
Radix,int64,1,normal,10000,0.00143128
Radix,int32,1,normal,100000,0.00413952
Radix,int64,1,normal,100000,0.00470084
Radix,int32,1,normal,500000,0.0313631
Radix,int64,1,normal,500000,0.0305037
Radix,int32,1,normal,1000000,0.0863232
Radix,int64,1,normal,1000000,0.127497
Radix,int32,1,normal,5000000,0.373369
Radix,int64,1,normal,5000000,0.323067
Radix,int32,1,normal,10000000,0.775874
Radix,int64,1,normal,10000000,0.564788
